file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,1f1febbd,Joshua Lee,2025-01-17,01:01:25,-08:00,2025-01-17T01:01:25-08:00,0,40
style.css,2,css,1f1febbd,Joshua Lee,2025-01-17,01:01:25,-08:00,2025-01-17T01:01:25-08:00,0,6
style.css,3,css,1f1febbd,Joshua Lee,2025-01-17,01:01:25,-08:00,2025-01-17T01:01:25-08:00,0,64
style.css,4,css,1fc4be15,Joshua Lee,2025-01-24,13:54:18,-08:00,2025-01-24T13:54:18-08:00,0,24
style.css,5,css,fafd90ce,Joshua Lee,2025-01-17,01:02:31,-08:00,2025-01-17T01:02:31-08:00,0,0
style.css,6,css,1f1febbd,Joshua Lee,2025-01-17,01:01:25,-08:00,2025-01-17T01:01:25-08:00,0,0
style.css,7,css,dabdf62b,Joshua Lee,2025-01-13,13:39:21,-08:00,2025-01-13T13:39:21-08:00,0,25
style.css,8,css,f6c4af8c,Joshua Lee,2025-01-06,19:04:20,-08:00,2025-01-06T19:04:20-08:00,0,5
style.css,9,css,dabdf62b,Joshua Lee,2025-01-13,13:39:21,-08:00,2025-01-13T13:39:21-08:00,0,24
style.css,10,css,dabdf62b,Joshua Lee,2025-01-13,13:39:21,-08:00,2025-01-13T13:39:21-08:00,0,16
style.css,11,css,dabdf62b,Joshua Lee,2025-01-13,13:39:21,-08:00,2025-01-13T13:39:21-08:00,0,19
style.css,12,css,dabdf62b,Joshua Lee,2025-01-13,13:39:21,-08:00,2025-01-13T13:39:21-08:00,0,13
style.css,13,css,dabdf62b,Joshua Lee,2025-01-13,13:39:21,-08:00,2025-01-13T13:39:21-08:00,0,22
style.css,14,css,dabdf62b,Joshua Lee,2025-01-13,13:39:21,-08:00,2025-01-13T13:39:21-08:00,0,0
style.css,15,css,bbe564c3,Joshua Lee,2025-01-13,13:01:37,-08:00,2025-01-13T13:01:37-08:00,0,0
style.css,16,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,29
style.css,17,css,3bada46d,Joshua Lee,2025-01-13,13:16:27,-08:00,2025-01-13T13:16:27-08:00,0,4
style.css,18,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,41
style.css,19,css,c7b467f4,Joshua Lee,2025-01-16,17:26:14,-08:00,2025-01-16T17:26:14-08:00,0,65
style.css,20,css,80fd6caf,Joshua Lee,2025-01-17,01:49:31,-08:00,2025-01-17T01:49:31-08:00,0,11
style.css,21,css,619283ad,Joshua Lee,2025-01-17,00:06:01,-08:00,2025-01-17T00:06:01-08:00,0,19
style.css,22,css,1f1febbd,Joshua Lee,2025-01-17,01:01:25,-08:00,2025-01-17T01:01:25-08:00,0,78
style.css,23,css,1fc4be15,Joshua Lee,2025-01-24,13:54:18,-08:00,2025-01-24T13:54:18-08:00,0,0
style.css,24,css,1fc4be15,Joshua Lee,2025-01-24,13:54:18,-08:00,2025-01-24T13:54:18-08:00,0,40
style.css,25,css,1fc4be15,Joshua Lee,2025-01-24,13:54:18,-08:00,2025-01-24T13:54:18-08:00,0,40
style.css,26,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,0
style.css,27,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,0
style.css,28,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,54
style.css,29,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,7
style.css,30,css,f11916b1,Joshua Lee,2025-01-17,18:04:21,-08:00,2025-01-17T18:04:21-08:00,0,32
style.css,31,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,16
style.css,32,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,10
style.css,33,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,9
style.css,34,css,98c99ce9,Joshua Lee,2025-01-17,01:15:53,-08:00,2025-01-17T01:15:53-08:00,0,11
style.css,35,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,0
style.css,36,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,0
style.css,37,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,21
style.css,38,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,6
style.css,39,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,21
style.css,40,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,14
style.css,41,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,65
style.css,42,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,55
style.css,43,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,15
style.css,44,css,47d58a22,Joshua Lee,2025-01-17,01:23:01,-08:00,2025-01-17T01:23:01-08:00,0,16
style.css,45,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,38
style.css,46,css,d396219f,Joshua Lee,2025-01-13,13:24:21,-08:00,2025-01-13T13:24:21-08:00,0,0
style.css,47,css,f7af3d51,Joshua Lee,2025-01-13,13:31:39,-08:00,2025-01-13T13:31:39-08:00,0,0
style.css,48,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,31
style.css,49,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,14
style.css,50,css,101149aa,Joshua Lee,2025-01-16,17:04:46,-08:00,2025-01-16T17:04:46-08:00,0,17
style.css,51,css,619283ad,Joshua Lee,2025-01-17,00:06:01,-08:00,2025-01-17T00:06:01-08:00,0,44
